03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
27674,2019.3605050732313,8,27008,35,2.52,134,1,1.83,2019.3605050732313,1683053154,0,3040.0,252.85,3072.0,1.0,1.0,0.0,1.0,3008.0,0.0,253.75,253.5,0.0,252.08,3008.0,1.0,0.0,254.35,3104.0,1.0,0.0,3008.0,250.09,1.0,0.0,1.0,251.36,3008.0,0.0,252.58,2912.0,1.0,0.0,,,,,,,
30498,2018.1525126870476,8,30144,36,1.12,136,1,0.82,2018.1525126870476,1683053156,0,3392.0,252.31,3424.0,1.0,1.0,0.0,1.0,3360.0,0.0,253.32,253.55,0.0,251.56,3392.0,1.0,0.0,254.1,3456.0,1.0,0.0,3360.0,250.99,1.0,0.0,1.0,251.82,3360.0,0.0,251.71,3264.0,1.0,0.0,,,,,,,
33325,2016.8854765110189,8,32928,37,0.0,137,1,0.5,2016.8854765110189,1683053157,0,3776.0,252.03,3808.0,1.0,1.0,0.0,1.0,3776.0,0.0,252.64,253.41,0.0,251.16,3776.0,1.0,0.0,254.32,3840.0,1.0,0.0,3744.0,250.77,1.0,0.0,1.0,251.89,3744.0,0.0,251.94,3680.0,1.0,0.0,,,,,,,
36158,2016.8854765110189,8,32928,38,0.0,138,1,0.5,2016.8854765110189,1683053158,0,4128.0,252.27,4160.0,1.0,1.0,0.0,1.0,4128.0,0.0,252.53,253.85,0.0,251.3,4128.0,1.0,0.0,253.21,4192.0,1.0,0.0,4096.0,250.7,1.0,0.0,1.0,250.71,4096.0,0.0,252.32,4000.0,1.0,0.0,,,,,,,
38967,2016.8854765110189,8,32928,39,0.0,140,1,0.5,2016.8854765110189,1683053160,0,4128.0,252.27,4160.0,1.0,1.0,0.0,1.0,4128.0,0.0,252.53,253.85,0.0,251.3,4128.0,1.0,0.0,253.21,4192.0,1.0,0.0,4096.0,250.7,1.0,0.0,1.0,250.71,4096.0,0.0,252.32,4000.0,1.0,0.0,,,,,,,
41800,2016.8854765110189,8,32928,40,0.0,141,1,0.5,2016.8854765110189,1683053161,0,4128.0,252.27,4160.0,1.0,1.0,0.0,1.0,4128.0,0.0,252.53,253.85,0.0,251.3,4128.0,1.0,0.0,253.21,4192.0,1.0,0.0,4096.0,250.7,1.0,0.0,1.0,250.71,4096.0,0.0,252.32,4000.0,1.0,0.0,,,,,,,
44620,2016.8854765110189,8,32928,41,0.0,143,1,0.5,2016.8854765110189,1683053163,0,4128.0,252.27,4160.0,1.0,1.0,0.0,1.0,4128.0,0.0,252.53,253.85,0.0,251.3,4128.0,1.0,0.0,253.21,4192.0,1.0,0.0,4096.0,250.7,1.0,0.0,1.0,250.71,4096.0,0.0,252.32,4000.0,1.0,0.0,,,,,,,
47447,2016.8854765110189,8,32928,42,0.0,144,1,0.5,2016.8854765110189,1683053164,0,4128.0,252.27,4160.0,1.0,1.0,0.0,1.0,4128.0,0.0,252.53,253.85,0.0,251.3,4128.0,1.0,0.0,253.21,4192.0,1.0,0.0,4096.0,250.7,1.0,0.0,1.0,250.71,4096.0,0.0,252.32,4000.0,1.0,0.0,,,,,,,
50308,2016.8854765110189,8,32928,43,0.0,145,1,0.5,2016.8854765110189,1683053165,0,4128.0,252.27,4160.0,1.0,1.0,0.0,1.0,4128.0,0.0,252.53,253.85,0.0,251.3,4128.0,1.0,0.0,253.21,4192.0,1.0,0.0,4096.0,250.7,1.0,0.0,1.0,250.71,4096.0,0.0,252.32,4000.0,1.0,0.0,,,,,,,
53154,2016.8854765110189,8,32928,44,0.0,147,1,0.5,2016.8854765110189,1683053167,0,4128.0,252.27,4160.0,1.0,1.0,0.0,1.0,4128.0,0.0,252.53,253.85,0.0,251.3,4128.0,1.0,0.0,253.21,4192.0,1.0,0.0,4096.0,250.7,1.0,0.0,1.0,250.71,4096.0,0.0,252.32,4000.0,1.0,0.0,,,,,,,
