process/memory/data_resident_set_proc_MB,01_general/step,01_general/locally_processed_samples,_runtime,02_timing/forward_time_s,01_general/dataset_iteration_count,memory/used_memory_sys_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,02_timing/opt_step_time_s,process/memory/dirty_pages_proc_count,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,cpu/interrupts/ctx_switches_count,cpu/logical_core_count,_step,disk/counter/disk_read_sys_count,_timestamp,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,cpu/load/avg_sys_load_five_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_write_time_sys_s,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,process/memory/virtual_memory_size_proc_MB,02_timing/step_time_s,02_timing/loss_calc_time_s,01_general/minibatch_loss,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/backward_time_s,memory/used_memory_sys_MB,process/memory/lib_memory_proc_MB,02_timing/dataload_time_s,01_general/lr,03_hivemind/num_peers,process/voluntary_proc_ctx_switches,process/involuntary_proc_ctx_switches,memory/available_memory_sys_MB,cpu/load/avg_sys_load_one_min_percent,02_timing/dataload_cuda_move_time_s,03_hivemind/global_epoch,cpu/interrupts/interrupts_count,cpu/interrupts/soft_interrupts_count,process/memory/resident_set_size_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs
0.0,,,33,,,19.1,0.06944160406207144,2.654208,,0.0,3.1950000000000003,364.0,180870.0,,34,4585.0,1696169614.0,,4.463999999999999,5.375,4.125,0.6649999999999636,0.007140422293641622,1285.267456,30892.11392,,,,0.06998411659316862,,5162.688512,3916.505088,,,,7114.0,59.0,25519.190016,6.5,,,204063.0,70383.0,4242.804736,0.0
0.0,,,34,,,19.1,0.008169614074377185,2.654208,,0.0,3.1950000000000003,366.0,181147.0,,35,4585.0,1696169615.0,,4.471999999999994,5.375,4.125,0.6669999999999163,0.005082074381444435,1285.267456,30892.11392,,,,0.06775035422391851,,5162.688512,3916.505088,,,,7114.0,59.0,25519.198208,6.5,,,204263.0,70545.0,4242.804736,0.0
0.0,,,35,,,19.1,124.72491839201862,2.654208,,0.0,3.1950000000000003,852.0,181527.0,,36,4585.0,1696169616.0,,5.123999999999995,5.375,4.125,30.56800000000021,0.011167147961799182,1285.267456,30892.11392,,,,0.12505610409441448,,5162.602496,3916.505088,,,,7114.0,59.0,25519.284224,6.5,,,204968.0,71176.0,4242.804736,0.0
0.0,,,36,,,19.1,30.395294884220657,2.654208,,0.0,3.1950000000000003,993.0,181745.0,,37,4585.0,1696169617.0,,5.315999999999988,5.375,4.125,37.695000000000164,0.0023455917525503564,1285.267456,30892.11392,,,,0.00052656141394832,,5162.582016,3916.505088,,,,7114.0,59.0,25519.292416,6.5,,,205247.0,71432.0,4242.804736,0.0
0.0,,,37,,,19.1,0.004084736139348426,2.654208,,0.0,3.1950000000000003,994.0,182024.0,,38,4585.0,1696169618.0,,5.319999999999993,5.375,4.125,37.695000000000164,0.014176906481234904,1285.267456,30892.11392,,,,0.11380617386653859,,5162.582016,3916.505088,,,,7114.0,59.0,25519.292416,6.5,,,205453.0,71587.0,4242.804736,0.0
0.0,,,38,,,19.1,0.08988022269220006,2.654208,,0.0,3.1950000000000003,1009.0,182384.0,,39,4585.0,1696169619.0,,5.331999999999994,5.375,4.125,37.71100000000024,0.010780200714408585,1285.267456,30892.11392,,,,0.07152754937979458,,5162.582016,3916.505088,,,,7114.0,59.0,25519.292416,5.875,,,205730.0,71767.0,4242.804736,0.0
0.0,,,39,,,19.1,0.01634065793001762,2.654208,,0.0,3.1950000000000003,1013.0,182660.0,,40,4585.0,1696169620.0,,5.339999999999989,5.375,4.125,37.71399999999994,0.014473610101262205,1285.267456,30892.11392,,,,0.1154058966274329,,5162.512384,3916.505088,,,,7114.0,59.0,25519.362048,5.875,,,205919.0,71894.0,4242.804736,0.0
0.0,,,40,,,19.1,0.004084749736177693,2.654208,,0.0,3.1950000000000003,1014.0,182840.0,,41,4585.0,1696169621.0,,5.343999999999994,5.375,4.125,37.715000000000146,0.0039251892000334064,1285.267456,30892.11392,,,,0.0005265497706082966,,5162.512384,3916.505088,,,,7114.0,59.0,25519.362048,5.875,,,206057.0,72011.0,4242.804736,0.0
0.0,,,41,,,19.1,0.04493662765373695,2.654208,,0.0,3.1950000000000003,1017.0,183122.0,,42,4585.0,1696169622.0,,5.3559999999999945,5.375,4.125,37.7170000000001,0.013962908095052011,1285.267456,30892.11392,,,,0.11395328767125527,,5162.442752,3916.505088,,,,7114.0,59.0,25519.427584,5.875,,,206258.0,72149.0,4242.804736,0.0
0.0,,,42,,,19.1,0.004084612800817825,2.654208,,0.0,3.1950000000000003,1018.0,183443.0,,43,4585.0,1696169623.0,,5.359999999999999,5.375,4.125,37.71799999999985,0.005608364838594787,1285.267456,30892.11392,,,,0.06739611120408433,,5162.409984,3916.505088,,,,7114.0,59.0,25519.460352,5.875,,,206483.0,72309.0,4242.804736,0.0
