_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
36,35,,,1680689529,4.266666666666667,0.0,0.19599999999999795,5860.397056,0.032686375711443255,37109.0,0.08373489753044316,2046.500864,198.0,5871.869952,0.0,0.0,0.0,3.4000000000000004,15298.0,0.012951657142797581,201874.444288,2.719744,821.0,0.09799999999995634,6423.113728,0.0,970439.0,4.4,4.4,22901.768192,261.0,,,,,,,,,,,,,,
37,36,,,1680689530,4.266666666666667,0.0,0.20400000000000773,5860.90496,0.06130867971698445,37711.0,0.052487574118617264,2046.500864,201.0,5871.869952,0.0,0.0,0.0,3.4000000000000004,15496.0,0.014728452345390828,201873.94048,2.719744,821.0,0.09999999999990905,6423.113728,0.0,970834.0,4.4,4.4,22901.768192,261.0,,,,,,,,,,,,,,
38,37,,,1680689531,4.266666666666667,0.0,0.2079999999999984,5860.900864,0.004087131544817256,38258.0,0.010305638325947766,2046.500864,202.0,5871.869952,0.0,0.0,0.0,3.4000000000000004,15668.0,0.0077511811294950165,201873.94048,2.719744,821.0,0.09999999999990905,6423.113728,0.0,971146.0,4.4,4.4,22901.768192,261.0,,,,,,,,,,,,,,
39,38,,,1680689532,4.266666666666667,0.0,0.2120000000000175,5860.896768,0.004085244143149223,38703.0,0.05403373693666435,2046.500864,203.0,5871.869952,0.0,0.0,0.0,3.4000000000000004,15844.0,0.015718615124276605,201873.94048,2.719744,821.0,0.09999999999990905,6423.113728,0.0,971418.0,4.4,4.4,22901.768192,261.0,,,,,,,,,,,,,,
40,39,,,1680689533,4.266666666666667,0.0,0.21600000000000819,5860.896768,0.004085892189451415,39265.0,0.008738382713391685,2046.500864,204.0,5871.869952,0.0,0.0,0.0,3.1000000000000005,15985.0,0.0068231207965365375,201873.94048,2.719744,821.0,0.09999999999990905,6423.113728,0.0,971740.0,4.4,4.333333333333334,22901.768192,261.0,,,,,,,,,,,,,,
41,40,,,1680689534,4.266666666666667,0.0,0.21999999999999886,5861.142528,0.004084169041587084,39784.0,0.04968806432824435,2046.500864,205.0,5871.869952,0.0,0.0,0.0,3.1000000000000005,16140.0,0.012810889581725932,201873.690624,2.719744,821.0,0.10099999999999909,6423.113728,0.0,972033.0,4.4,4.333333333333334,22901.768192,261.0,,,,,,,,,,,,,,
42,41,,,1680689535,4.266666666666667,0.0,0.23199999999999932,5861.138432,0.08991837008504552,40460.0,0.008789073637335878,2046.500864,214.0,5871.869952,0.0,0.0,0.0,3.1000000000000005,16320.0,0.008278173823106664,201873.69472,2.719744,821.0,0.10599999999999454,6423.113728,0.0,972420.0,4.4,4.333333333333334,22901.768192,261.0,,,,,,,,,,,,,,
43,42,,,1680689536,4.266666666666667,0.0,0.2400000000000091,5861.117952,0.049047247163345714,41028.0,0.0633127795020421,2046.500864,219.0,5871.869952,0.0,0.0,0.0,3.1000000000000005,16502.0,0.031484756288687216,201873.719296,2.719744,821.0,0.10799999999994725,6423.113728,0.0,972754.0,4.4,4.333333333333334,22901.768192,261.0,,,,,,,,,,,,,,
44,43,,,1680689537,4.266666666666667,0.0,0.24399999999999977,5861.117952,0.004085468550960919,41588.0,0.010341342280278913,2046.500864,220.0,5871.869952,0.0,0.0,0.0,3.1000000000000005,16683.0,0.007476726665729911,201873.719296,2.719744,821.0,0.10799999999994725,6423.113728,0.0,973066.0,4.4,4.333333333333334,22901.768192,261.0,,,,,,,,,,,,,,
45,44,,,1680689538,4.233333333333333,0.0,0.24800000000001887,5861.117952,0.004085577374399681,42139.0,0.05387057191811214,2046.500864,221.0,5871.869952,0.0,0.0,0.0,2.8666666666666667,16854.0,0.016549780177546353,201873.719296,2.719744,821.0,0.1089999999999236,6423.113728,0.0,973454.0,4.4,4.266666666666667,22901.768192,261.0,,,,,,,,,,,,,,
