03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
37444,2138.287267597309,4,32832,59,0.0,111,3,0.5,2138.287267597309,1683047672,0,8224.0,3.0,531.08,0.0,541.99,8192.0,534.77,8192.0,3.0,0.0,3.0,3.0,8224.0,0.0,530.45,0.0,,,,,,,
2200,2138.287267597309,4,0,60,14.3,112,4,8.17,2138.287267597309,1683047673,0,8224.0,3.0,531.08,0.0,541.99,8192.0,534.77,8192.0,3.0,0.0,3.0,3.0,8224.0,0.0,530.45,0.0,,,,,,,
4778,2138.287267597309,4,0,61,13.09,113,4,7.48,2138.287267597309,1683047674,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,18.092931043356657,0.0,131296.0,32832.0,0.0,1814.6313563746885,4.0
7350,2138.287267597309,4,0,62,11.89,114,4,6.79,2138.287267597309,1683047675,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
9925,2138.287267597309,4,0,63,10.68,116,4,6.1,2138.287267597309,1683047677,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
18556,2138.287267597309,4,0,64,6.65,120,4,3.8,2138.287267597309,1683047681,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
20751,2138.287267597309,4,0,65,5.62,121,4,3.21,2138.287267597309,1683047682,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
22940,2138.287267597309,4,0,66,4.6,122,4,2.63,2138.287267597309,1683047683,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
25148,2138.287267597309,4,0,67,3.56,123,4,2.04,2138.287267597309,1683047684,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
27349,2138.287267597309,4,0,68,2.53,124,4,1.45,2138.287267597309,1683047685,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
29544,2138.287267597309,4,0,69,1.51,125,4,0.86,2138.287267597309,1683047686,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
