01_general/locally_processed_samples,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_timestamp,disk/time/disk_write_time_sys_s,02_timing/dataload_time_s,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,01_general/dataset_iteration_count,cpu/interrupts/interrupts_count,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,disk/time/disk_read_time_sys_s,cpu/logical_core_count,memory/used_memory_sys_MB,process/voluntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,02_timing/step_time_s,memory/total_memory_sys_MB,memory/available_memory_sys_MB,disk/counter/disk_write_sys_count,process/memory/shared_memory_proc_MB,01_general/lr,01_general/step,03_hivemind/num_peers,02_timing/forward_time_s,03_hivemind/global_epoch,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/opt_step_time_s,_step,disk/time/disk_busy_time_sys_s,process/involuntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,process/memory/lib_memory_proc_MB,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,_runtime
,1217338.0,1.6902269715028309,0.0,0.3125,1681394257.0,0.03999999999999915,,0.0,10893.041664,2.854912,,4994831.0,0.0,0.5,146001.051648,0.0,,21523.480576,5921.0,0.0,,,513549.80352,226.0,3372.883968,,,,,,,,,117,0.11199999999999477,517.0,2.1702482093916973,,5.1,2488921.0,13245.68576,0.02796744400257012,1.3,0.0,92
6722.0,,,,,1681394257.0,,0.015191630001936574,,,,0.0,,,,,,,,,,0.5780811829972663,,,,,0.0001,26.0,9.0,0.4093756750007742,1.0,7.2476043701171875,0.10205337200022768,0.019624396998551674,118,,,,0.003868664993206039,,,,,,,92
,1221822.0,1.4660704312395632,0.0,0.3125,1681394258.0,0.03999999999999915,,0.0,10784.690176,2.854912,,4997481.0,0.0,0.5,145926.242304,0.0,,21521.149952,5984.0,0.0,,,513706.283008,226.0,3264.503808,,,,,,,,,119,0.11199999999999477,519.0,3.5775967745352997,,5.0,2511460.0,13279.25248,0.007187677001638804,1.3,0.0,93
6798.0,,,,,1681394258.0,,0.01556573600100819,,,,0.0,,,,,,,,,,0.5963003469951218,,,,,0.0001,27.0,9.0,0.46948451299977023,1.0,7.0359272956848145,0.09567087899631588,0.004432490000908729,120,,,,0.0039590519954799674,,,,,,,93
6870.0,,,,,1681394258.0,,0.0071327839978039265,,,,0.0,,,,,,,,,,0.5234520419908222,,,,,0.0001,28.0,9.0,0.40560804899723735,1.0,7.273654460906982,0.09479152399580926,0.005025047001254279,121,,,,0.004041968000819907,,,,0.006852669997897465,,,93
,1227004.0,1.7592703566581556,0.0,0.3125,1681394259.0,0.03999999999999915,,0.0,10773.630976,2.854912,,5001042.0,0.0,0.5,145884.844032,0.0,,21048.225792,6108.0,0.0,,,514268.336128,227.0,3253.436416,,,,,,,,,122,0.11599999999998545,522.0,2.2645461249312193,,4.9,2553557.0,13245.70624,0.005952449995675124,1.3,0.019421428288398213,94
6933.0,,,,,1681394259.0,,0.005406919997767545,,,,0.0,,,,,,,,,,0.5220901559878257,,,,,0.0001,29.0,9.0,0.406515891001618,1.0,7.142795085906982,0.09603725099441363,0.004470207997655962,123,,,,0.003707436000695452,,,,,,,94
6998.0,,,,,1681394260.0,,0.005868771993846167,,,,0.0,,,,,,,,,,0.5873440369905438,,,,,0.0001,30.0,9.0,0.470130819005135,1.0,7.2802886962890625,0.09444764599902555,0.0044852369974250905,124,,,,0.004060569997818675,,,,0.00835099299729336,,,95
,1236126.0,1.7529606106153004,0.0,0.3125,1681394260.0,0.03999999999999915,,0.0,10778.56256,2.854912,,5030209.0,0.0,0.5,145818.873856,0.0,,19721.924608,6228.0,0.0,,,515632.66048,227.0,3258.208256,,,,,,,,,125,0.11599999999998545,525.0,2.531022525627182,,4.7,2597415.0,13178.724352,,1.3,0.0,95
,1253381.0,8.819248429952436,0.0,0.3125,1681394261.0,0.03999999999999915,,0.0,10778.636288,2.854912,,5104279.0,0.0,0.4875,145852.47744,0.0,,19872.227328,6317.0,0.0,,,515482.271744,227.0,3258.24512,,,,,,,,,126,0.11599999999998545,526.0,2.6406189086624727,,4.7,2608292.0,13212.278784,,1.2,0.0,96
,1278332.0,614.7615796387125,0.0,0.3125,1681394262.0,0.03999999999999915,,0.0,10778.636288,2.854912,,5117965.0,0.0,0.4875,145852.47744,0.0,,20412.514304,6317.0,0.0,,,514941.984768,227.0,3258.24512,,,,,,,,,127,0.11599999999998545,526.0,4.299706967282441,,4.8,2622451.0,13212.278784,,1.2,0.0,97
,1299584.0,835.3148567371145,0.0,0.3125,1681394263.0,0.03999999999999915,,0.0,10893.668352,2.854912,,5130105.0,0.0,0.4875,146275.77856,0.0,,21269.880832,6328.0,0.0,,,513340.5184,227.0,3373.277184,,,,,,,,,128,0.11599999999998545,527.0,2.9811284198106267,,5.1,2633302.0,13212.278784,0.02729774000181351,1.2,0.0,98
7254.0,,,,,1681394264.0,,3.573836183997628,,,,1.0,,,,,,,,,,4.203321673005121,,,,,0.0001,0.0,9.0,0.4513260370003991,1.0,7.206634521484375,0.13158998300059466,0.014028117002453655,129,,,,0.005243612002232112,,,,,,,99
,1330628.0,794.214408637774,0.0,0.3125,1681394264.0,0.03999999999999915,,0.0,10893.828096,2.854912,,5167030.0,0.0,0.4875,146188.771328,0.0,,21133.705216,6411.0,0.0,,,513450.049536,230.0,3373.268992,,,,,,,,,130,0.12000000000000455,577.0,4.0999023376224795,,5.1,2665995.0,13279.387648,0.03261676200054353,1.2,0.06483998685269499,99
7510.0,,,,,1681394265.0,,0.004139067998039536,,,,1.0,,,,,,,,,,0.6193934500042815,,,,,0.0001,1.0,9.0,0.4449866840004688,1.0,7.17645263671875,0.12490461699781008,0.0060077080051996745,131,,,,0.006738611002219841,,,,,,,100
,1360759.0,759.5266959348538,0.0,0.3125,1681394265.0,0.03999999999999915,,0.0,10893.807616,2.854912,,5185497.0,0.0,0.4875,146155.200512,0.0,,21188.77184,6466.0,0.0,,,512932.540416,230.0,3373.268992,,,,0.4383284680006909,,,0.12528524799563456,0.005761986998550128,132,0.12000000000000455,608.0,3.2943215433368764,0.006598533000214957,5.2,2717320.0,13245.845504,0.033819877993664704,1.2,0.0,100
7766.0,,,,,1681394265.0,,0.023549343000922818,,,,1.0,,,,,,,,,,0.6333434569896781,,,,,0.0001,2.0,9.0,,1.0,7.22479248046875,,,133,,,,,,,,,,,100
