process/memory/text_resident_set_proc_MB,01_general/lr,process/voluntary_proc_ctx_switches,_step,memory/used_memory_sys_MB,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_five_min_percent,_runtime,02_timing/forward_time_s,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,01_general/dataset_iteration_count,_timestamp,01_general/step,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_one_min_percent,process/memory/resident_set_size_proc_MB,memory/available_memory_sys_MB,02_timing/dataload_time_s,02_timing/opt_step_time_s,01_general/minibatch_loss,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,process/memory/virtual_memory_size_proc_MB,disk/time/disk_write_time_sys_s,process/memory/shared_memory_proc_MB,disk/time/disk_busy_time_sys_s,process/memory/data_resident_set_proc_MB,02_timing/backward_time_s,memory/used_memory_sys_percent,cpu/interrupts/soft_interrupts_count,process/memory/lib_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/step_based_sps,bandwidth/disk_read_sys_bandwidth_MBs,02_timing/step_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,bandwidth/net_sent_sys_bandwidth_Mbits,bandwidth/disk_write_sys_bandwidth_MBs,memory/total_memory_sys_MB,cpu/logical_core_count,process/involuntary_proc_ctx_switches
,0.0001,,36,,,,18,,,,,0.0,1696189395.0,17.0,,,,,0.0014180850002958323,,1.9764776229858398,,,54.0,,,,,,,,,,,12.963466225558971,,0.23141958699943643,,,,,,,
,0.0001,,37,,0.0012332780006545363,,19,0.16792683799940278,,0.001047089000167034,,0.0,1696189396.0,18.0,,,,,0.001359226999738894,1.5219993656501174e-06,2.092965602874756,,,57.0,,,,,,0.05910660899917275,,,,,13.005335139702797,,0.23067456299850164,,,,,,,
2.654208,,383.0,38,4229.963776,0.001346729999568197,10.375,19,0.1681442369999786,21773.0,0.001069199999619741,0.0,,1696189396.0,,0.0,10.125,3695.960064,26836.946944,,1.4780007404624484e-06,,13.0,10848.0,,28179.308544,0.09400000000005093,969.478144,0.21999999999999886,0.0,0.05657030800011853,15.0,10793.0,3593.183232,0.0,,0.0,,0.0,111.0,0.0,0.0163442723468304,,,54.0
,0.0001,,39,,,,19,,,,,0.0,1696189396.0,19.0,,,,,0.0015028269999675103,,2.366741895675659,,,60.0,,,,,,,,,,,13.121363250158577,,0.22863477999999304,,,,,,,
,0.0001,,40,,0.0012110170000596554,,20,0.16685783400043874,,0.0010902479998549097,,0.0,1696189397.0,20.0,,,,,0.0014411210004254826,2.0690004021162167e-06,1.9053584337234497,,,63.0,,,,,,0.07074395599920535,,,,,12.430274189661407,,0.24134624500038626,,,,,,,
2.654208,,401.0,41,4232.052736,0.0012818029999834835,10.625,20,0.1679430840003988,23061.0,0.0010553199999776552,0.0,,1696189397.0,,0.0,11.375,3695.960064,26834.661376,,1.8600003386382014e-06,,13.0,11335.0,,28179.308544,0.09699999999975262,969.478144,0.2400000000000091,0.0,0.05846359699989989,15.0,11321.0,3593.183232,0.010605051891066064,,0.0,,0.0,115.0,0.072224472911408,0.01634247271151941,,,56.0
,0.0001,,42,,,,20,,,,,0.0,1696189397.0,21.0,,,,,0.0018554449998191558,,2.3513240814208984,,,66.0,,,,,,,,,,,13.009477764456747,,0.23060110900041764,,,,,,,
,0.0001,,43,,0.0012532959999589366,,21,0.16805395500068698,,0.0010560990003796178,,0.0,1696189398.0,22.0,,,,,0.0014460110005529714,1.70499970408855e-06,2.2479124069213867,,,69.0,,,,,,0.05847107000045071,,,,,13.027497712533895,,0.2302821360017333,,,,,,,
2.654208,,421.0,44,4234.559488,0.0011775359998864587,10.625,21,0.1676516890001949,24257.0,0.00117976000001363,0.0,,1696189398.0,,0.0,11.375,3695.960064,26832.338944,,1.6280000636470504e-06,,13.0,11790.0,,28179.308544,0.09999999999990905,969.478144,0.2600000000000193,0.0,0.07220495000001392,15.0,11758.0,3593.183232,0.0,,0.0,,0.0,120.0,0.0,0.07763176702583297,,,57.0
,0.0001,,45,,,,21,,,,,0.0,1696189398.0,23.0,,,,,0.0015718510003353003,,2.150500774383545,,,72.0,,,,,,,,,,,12.305803448875956,,0.24378741400050785,,,,,,,
