03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/num_clients,03_hivemind/next_fetch_time_s,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch_oos
2,3.0,937.1474091923542,127,0.0,3.0,3,,433.38,0,2.0,,,,11693,0,,5.01,503.76,0.0,71,,0.0,,937.1474091923542,1680688971.0,0.0
2,3.0,937.1474091923542,128,0.0,3.0,3,,433.38,0,1.59,,,,12647,0,,3.99,503.76,0.0,72,,0.0,,937.1474091923542,1680688972.0,0.0
2,3.0,937.1474091923542,129,0.0,3.0,3,,433.38,0,1.19,,,,13604,0,,2.97,503.76,0.0,73,,0.0,,937.1474091923542,1680688973.0,0.0
2,3.0,937.1474091923542,130,0.0,3.0,3,,433.38,0,0.78,,,,14558,0,,1.95,503.76,0.0,74,,0.0,,937.1474091923542,1680688974.0,0.0
2,3.0,937.1474091923542,131,0.0,3.0,3,,433.38,0,0.5,,,,15511,0,,0.93,503.76,0.0,75,,0.0,,937.1474091923542,1680688975.0,0.0
2,3.0,937.1474091923542,132,0.0,3.0,3,,433.38,0,0.5,,,,16463,0,,0.0,503.76,0.0,76,,0.0,,937.1474091923542,1680688976.0,0.0
2,3.0,937.1474091923542,133,0.0,3.0,3,,433.38,0,0.5,,,,17419,0,,0.0,503.76,0.0,77,,0.0,,937.1474091923542,1680688977.0,0.0
2,3.0,937.1474091923542,134,0.0,3.0,3,,433.38,0,0.5,,,,18379,0,,0.0,503.76,0.0,78,,0.0,,937.1474091923542,1680688978.0,0.0
2,3.0,937.1474091923542,135,0.0,3.0,3,,433.38,0,0.5,,,,19332,0,,0.0,503.76,0.0,79,,0.0,,937.1474091923542,1680688979.0,0.0
2,3.0,937.1474091923542,136,0.0,3.0,3,,433.38,0,0.5,,,,20288,0,,0.0,503.76,0.0,80,,0.0,,937.1474091923542,1680688980.0,0.0
