_step,04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_per_second,_timestamp,04_peers/peer_2_epoch,03_hivemind/global_epoch,04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/num_clients,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_3_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/num_peers,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated
80,1.0,,232.28,250.14,1680698338.0,1.0,2,0.0,10.0,0,967.8594539983426,967.8594539983426,1.0,1.0,0.0,0.0,251.44,150,,,,8192.0,8224.0,,,0.0,33.37,8256.0,8192.0,4,,251.88,466,160
81,2.0,2.0,239.57,255.15,1680698339.0,2.0,2,0.0,10.0,0,943.0060281575554,943.0060281575554,2.0,2.0,0.0,0.0,256.77,151,712.6816107263816,65696.0,46.11315839411691,32.0,32.0,32864.0,0.0,0.0,33.14,64.0,32.0,4,0.0,216.36,1516,1344
82,2.0,,232.66,234.6,1680698340.0,2.0,2,0.0,10.0,0,981.9048363605152,981.9048363605152,2.0,2.0,0.0,0.0,236.39,152,,,,352.0,320.0,,,0.0,30.59,352.0,320.0,4,,239.36,2733,2560
83,2.0,,243.85,244.35,1680698342.0,2.0,2,0.0,10.0,0,997.3820531200959,997.3820531200959,2.0,2.0,0.0,0.0,246.16,154,,,,640.0,640.0,,,0.0,28.9,672.0,608.0,4,,247.54,3944,3776
84,2.0,,248.36,248.68,1680698343.0,2.0,2,0.0,10.0,0,952.6963510086149,952.6963510086149,2.0,2.0,0.0,0.0,249.86,155,,,,960.0,928.0,,,0.0,29.06,960.0,928.0,4,,250.48,5079,4928
85,2.0,,199.94,249.92,1680698344.0,2.0,2,0.0,10.0,0,980.3902437387628,980.3902437387628,2.0,2.0,0.0,0.0,251.3,156,,,,1184.0,1248.0,,,0.0,27.01,1280.0,1216.0,4,,251.53,6292,6112
86,2.0,,226.54,250.4,1680698345.0,2.0,2,0.0,10.0,0,950.273264811456,950.273264811456,2.0,2.0,0.0,0.0,251.67,157,,,,1472.0,1536.0,,,0.0,26.59,1568.0,1536.0,4,,251.77,7500,7296
87,2.0,,240.18,250.36,1680698347.0,2.0,2,0.0,10.0,0,945.6564308873935,945.6564308873935,2.0,2.0,0.0,0.0,251.65,159,,,,1792.0,1856.0,,,0.0,25.52,1824.0,1824.0,4,,208.08,8634,8512
88,2.0,,245.98,250.35,1680698348.0,2.0,2,0.0,10.0,0,979.0247117835955,979.0247117835955,2.0,2.0,0.0,0.0,214.6,160,,,,2112.0,2112.0,,,0.0,23.41,2144.0,2144.0,4,,234.72,9845,9696
89,2.0,,248.21,250.19,1680698349.0,2.0,2,0.0,10.0,0,993.665084939641,993.665084939641,2.0,2.0,0.0,0.0,235.89,161,,,,2400.0,2400.0,,,0.0,21.86,2432.0,2464.0,4,,244.74,11050,10848
