process/voluntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,_runtime,03_hivemind/global_epoch,02_timing/dataload_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,disk/time/disk_read_time_sys_s,process/memory/dirty_pages_proc_count,cpu/load/avg_sys_load_five_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,_timestamp,01_general/lr,02_timing/step_time_s,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/locally_processed_samples,process/memory/shared_memory_proc_MB,_step,01_general/step,cpu/logical_core_count,02_timing/forward_time_s,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,01_general/minibatch_loss,cpu/interrupts/soft_interrupts_count,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/backward_time_s,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/opt_step_time_s,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB
,,,,,7,0.0,0.03523909699993055,,,,,,,,1680687172.0,0.0001,0.07433843000001161,0.00022716899991337414,,,0.0,,1120.0,,42,34.0,,0.01847314400004052,,0.0022606180000366294,,,7.116455078125,,,,0.016515066000010847,,,,,2.0,0.0016233360000796893,,
,,,,,7,0.0,0.0007362070000453969,,,,,,,,1680687172.0,0.0001,0.039856860000099914,0.00020170000004782196,,,0.0,,1152.0,,43,35.0,,0.01824087900001814,,0.0023890429999937624,,,7.141845703125,,,,0.016659645000004275,,,,,2.0,0.001629385999990518,,
,,,,,7,0.0,0.007632140999930925,,,,,,,,1680687172.0,0.0001,0.046961512999928345,0.00019875499992849655,,,0.0,,1184.0,,44,36.0,,0.018357705000084934,,0.002243007999936708,,,7.1778564453125,,,,0.01686235800002578,,,,,2.0,0.0016675460000215026,,
,,,,,7,0.0,0.0007431989999986399,,,,,,,,1680687172.0,0.0001,0.03947744999993574,0.0001942640000152096,,,0.0,,1216.0,,45,37.0,,0.018263500999978532,,0.002294570999993084,,,6.97119140625,,,,0.01637370799994642,,,,,2.0,0.0016082070000038584,,
,,,,,7,0.0,0.007838332999995146,,,,,,,,1680687172.0,0.0001,0.04713023399995109,0.00018080500001360633,,,0.0,,1248.0,,46,38.0,,0.01837447099990186,,0.0022441090000029362,,,7.048583984375,,,,0.01682092700002613,,,,,2.0,0.0016715890000114086,,
,,,,,7,0.0,0.0007738440000366609,,,,,,,,1680687172.0,0.0001,0.04010320399993361,0.00018499700001939345,,,0.0,,1280.0,,47,39.0,,0.018252107999956024,,0.002414305999991484,,,6.890625,,,,0.01681316099995911,,,,,2.0,0.0016647879999709403,,
,,,,,7,0.0,0.01834142999996402,,,,,,,,1680687172.0,0.0001,0.0575914510001212,0.00022262900006353448,,,0.0,,1312.0,,48,40.0,,0.018384628000035264,,0.0022592779999968116,,,7.1494140625,,,,0.016747073000033197,,,,,2.0,0.0016364130000283694,,
1303.0,3.363909847308076,20471.431168,375545.0,163.0,7,,,4921.274368,,0.0,0.0,0.9666666666666666,491.2019425379607,2.719744,1680687172.0,,,,3.3,131949.0,,0.0,,1095.35232,49,,,,0.23199999999999932,,1.5666666666666667,0.0,,70649.0,0.33103497422388994,0.7333333333333333,,204159.053824,0.06799999999998363,0.0,146.0,,,5778.333696,4236.562432
,,,,,7,0.0,0.04069539900001473,,,,,,,,1680687172.0,0.0001,0.08035366199999316,0.00022442299996328074,,,0.0,,1344.0,,50,41.0,,0.018460340000046926,,0.0023153439999532566,,,7.0767822265625,,,,0.0170172000000548,,,,,2.0,0.0016409559999601697,,
,,,,,7,0.0,0.0007593279999582592,,,,,,,,1680687172.0,0.0001,0.039581239999961326,0.0001964869999255825,,,0.0,,1376.0,,51,42.0,,0.018192251000073156,,0.002369652999959726,,,7.15673828125,,,,0.01642491500001597,,,,,2.0,0.0016386060000286307,,
