_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
48,48,,,1696170163,6.375,0.0030000000000001137,6.200000000000003,8423.46496,0.0040871150169485655,432375.0,946.1991770372996,2911.051776,3989.0,7542.222848,3.0,0.0,0.0,16.875,174207.0,916.6897994909832,20706.996224,2.654208,20641.0,276.7399999999998,5581.06624,0.0,608298.0,34.4,8.375,35392.970752,93.0,,,,,,,,,,,,,,
49,49,,,1696170164,6.375,0.0030000000000001137,6.207999999999998,8584.019968,0.008172295557934129,491285.0,786.5327056857935,2911.051776,3991.0,7542.222848,3.0,0.0,0.0,16.875,186604.0,894.3179577446019,20546.441216,2.654208,20641.0,276.741,5581.06624,0.0,656884.0,34.9,8.375,35392.970752,93.0,,,,,,,,,,,,,,
50,50,,,1696170165,6.375,0.0030000000000001137,6.212000000000003,8675.852288,0.004084216612231103,542649.0,856.5381430405718,2911.051776,3992.0,7542.222848,3.0,0.0,0.0,16.875,198161.0,776.0819554469261,20454.608896,2.654208,20641.0,276.74199999999973,5581.06624,0.0,698071.0,35.2,8.375,35392.970752,93.0,,,,,,,,,,,,,,
51,51,,,1696170166,6.375,0.0030000000000001137,6.219999999999999,8783.826944,0.04491115756016029,603614.0,861.8686057988609,2911.051776,3995.0,7542.222848,3.0,0.0,0.0,16.875,210666.0,852.7360750153932,20346.63424,2.654208,20641.0,276.74400000000014,5581.06624,0.0,740183.0,35.5,8.375,35392.970752,93.0,,,,,,,,,,,,,,
52,52,,,1696170167,6.375,0.0030000000000001137,6.228000000000009,8912.470016,0.016333589178576326,661381.0,834.1464619957723,2911.051776,3998.0,7542.222848,3.0,0.0,0.0,16.875,223166.0,960.2982202281909,20217.991168,2.654208,20641.0,276.7460000000001,5581.06624,0.0,792661.0,35.9,8.375,35392.970752,93.0,,,,,,,,,,,,,,
53,53,,,1696170168,6.75,0.0030000000000001137,6.231999999999999,9012.666368,0.0040849867222111725,719154.0,840.8264764629516,2911.051776,3999.0,7542.222848,3.0,0.0,0.0,21.625,234981.0,745.6231242508882,20117.794816,2.654208,20641.0,276.74699999999984,5581.06624,0.0,832007.0,36.2,9.5,35392.970752,93.0,,,,,,,,,,,,,,
54,54,,,1696170169,6.75,0.0030000000000001137,6.236000000000004,9112.047616,0.00408255405062343,776860.0,736.4533284669758,2911.051776,4000.0,7542.222848,3.0,0.0,0.0,21.625,246805.0,849.3747242406712,20018.413568,2.654208,20641.0,276.74800000000005,5581.06624,0.0,869467.0,36.6,9.5,35392.970752,93.0,,,,,,,,,,,,,,
55,55,,,1696170170,6.75,0.0030000000000001137,6.240000000000009,9194.663936,0.004084724484995386,829053.0,615.0244561510507,2911.051776,4001.0,7542.222848,3.0,0.0,0.0,21.625,257794.0,501.6100624126989,19935.780864,2.654208,20641.0,276.7489999999998,5581.06624,0.0,903908.0,36.8,9.5,35392.970752,93.0,,,,,,,,,,,,,,
56,56,,,1696170171,6.75,0.0030000000000001137,6.248000000000005,9175.113728,0.0408783564208479,873203.0,12.564593586130401,2911.051776,4004.0,7542.222848,3.0,0.0,0.0,21.625,275313.0,20.82205351930672,19955.331072,2.654208,20641.0,276.75099999999975,5581.06624,0.0,941445.0,36.8,9.5,35392.970752,93.0,,,,,,,,,,,,,,
57,57,,,1696170172,6.75,0.0030000000000001137,6.2520000000000095,9306.587136,0.004083685570639259,901353.0,9.214700901832657,2911.051776,4005.0,7542.222848,3.0,0.0,0.0,21.875,287196.0,14.759771640157995,19823.845376,2.654208,20641.0,276.75199999999995,5581.06624,0.0,966756.0,37.2,9.75,35392.970752,93.0,,,,,,,,,,,,,,
