_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
37,36,,,1696112733,6.125,0.0,0.19999999999998863,3184.173056,0.16754122415003056,19396.0,0.04991438718701365,1114.464256,173.0,3109.330944,0.0,0.0,0.0,0.375,8774.0,0.011492919339714937,28917.71904,2.711552,739.0,0.13200000000006185,3286.196224,0.0,103965.0,12.8,5.0,14637.969408,27.0,,,,,,,,,,,,,,
38,37,,,1696112734,6.125,0.0,0.20400000000000773,3184.160768,0.05720242267354191,19772.0,0.003862440371341358,1114.464256,176.0,3109.330944,0.0,0.0,0.0,0.375,8939.0,0.003144217992079631,28917.735424,2.711552,739.0,0.13400000000001455,3286.196224,0.0,104226.0,12.8,5.0,14637.969408,27.0,,,,,,,,,,,,,,
39,38,,,1696112735,6.125,0.0,0.20800000000002683,3184.160768,0.0040860350451289995,20131.0,0.04920799235398187,1114.464256,177.0,3109.330944,0.0,0.0,0.0,0.375,9109.0,0.014716110592931226,28917.735424,2.711552,739.0,0.13400000000001455,3286.196224,0.0,104488.0,12.8,5.0,14637.969408,27.0,,,,,,,,,,,,,,
40,39,,,1696112736,6.125,0.0,0.21600000000000819,3184.156672,0.004086311059692555,20458.0,0.006137447663084,1114.464256,178.0,3109.330944,0.0,0.0,0.0,0.375,9241.0,0.003998519208957934,28917.735424,2.711552,739.0,0.13500000000021828,3286.196224,0.0,104712.0,12.8,5.0,14637.969408,27.0,,,,,,,,,,,,,,
41,40,,,1696112737,6.125,0.0,0.22000000000002728,3184.156672,0.004086032129681222,20906.0,0.05175374679063594,1114.464256,179.0,3109.330944,0.0,0.0,0.0,0.25,9413.0,0.011579751210350188,28917.735424,2.711552,739.0,0.13500000000021828,3286.196224,0.0,105014.0,12.8,4.875,14637.969408,27.0,,,,,,,,,,,,,,
42,41,,,1696112738,6.125,0.0,0.22399999999998954,3184.152576,0.004086047675154971,21298.0,0.0061370520809348105,1114.464256,180.0,3109.330944,0.0,0.0,0.0,0.25,9590.0,0.003998261501140997,28917.751808,2.711552,739.0,0.13599999999996726,3286.196224,0.0,105291.0,12.8,4.875,14637.969408,27.0,,,,,,,,,,,,,,
43,42,,,1696112739,6.125,0.0,0.23200000000002774,3184.144384,0.032690255208075426,21645.0,0.049625978241610316,1114.464256,183.0,3109.330944,0.0,0.0,0.0,0.25,9736.0,0.010814281205194457,28917.751808,2.711552,739.0,0.13799999999991996,3286.196224,0.0,105535.0,12.8,4.875,14637.969408,27.0,,,,,,,,,,,,,,
44,43,,,1696112740,6.125,0.0,0.23599999999999,3184.128,0.05315877476176676,22012.0,0.0021723537744626053,1114.464256,188.0,3109.330944,0.0,0.0,0.0,0.25,9904.0,0.0019008095585565893,28917.76,2.711552,739.0,0.14200000000028012,3286.196224,0.0,105788.0,12.8,4.875,14637.969408,27.0,,,,,,,,,,,,,,
45,44,,,1696112741,6.125,0.0,0.2400000000000091,3184.128,0.004086054481553837,22388.0,0.048617663864210695,1114.464256,189.0,3109.330944,0.0,0.0,0.0,0.25,10041.0,0.011835192959624576,28917.76,2.711552,739.0,0.14200000000028012,3286.196224,0.0,106037.0,12.8,4.875,14637.969408,27.0,,,,,,,,,,,,,,
46,45,,,1696112742,6.125,0.0,0.2440000000000282,3184.128,0.004086381041141077,22980.0,0.050991969665465105,1114.464256,190.0,3109.330944,0.0,0.0,0.0,0.25,10295.0,0.03592343957285479,28917.76,2.711552,739.0,0.1430000000000291,3286.196224,0.0,106480.0,12.8,4.75,14637.969408,27.0,,,,,,,,,,,,,,
