_step,04_peers/peer_7_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/num_clients,04_peers/peer_8_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_2_samples_accumulated,03_hivemind/num_peers,04_peers/peer_3_epoch,04_peers/peer_5_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_4_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_4_epoch,_runtime,04_peers/peer_1_epoch,04_peers/peer_5_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_8_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_6_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_8_epoch,03_hivemind/reached_TBS,04_peers/peer_7_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_5_samples_per_second,04_peers/peer_4_samples_accumulated
35,1.0,,0.0,576.0,1.0,0,0.0,199.69,213.6,576.0,6016,608.0,8,1.0,1.0,0.0,10.0,234.22,576.0,6300,,1134.939785845482,1680701365.0,0.0,,233.77,608.0,672.0,1134.939785845482,,1.0,141,1.0,0.0,,229.63,640.0,1.0,1,,0.0,0.0,235.11,227.45,1.0,,0.0,23.32,235.25,672.0
36,1.0,,0.0,768.0,1.0,0,0.0,125.6,136.78,736.0,8672,736.0,8,1.0,1.0,0.0,10.0,146.57,736.0,8924,,1531.1282760920003,1680701366.0,0.0,,140.13,768.0,768.0,1531.1282760920003,,1.0,142,1.0,0.0,,153.86,768.0,1.0,1,,0.0,0.0,147.72,146.36,1.0,,0.0,15.57,137.93,736.0
37,1.0,,0.0,1152.0,1.0,0,0.0,196.73,204.27,1120.0,11488,1120.0,8,1.0,1.0,0.0,8.42,205.31,768.0,11789,,1811.8753264669926,1680701367.0,0.0,,205.98,1120.0,1152.0,1811.8753264669926,,1.0,143,1.0,0.0,,214.2,1120.0,1.0,1,,0.0,0.0,94.65,209.37,1.0,,0.0,11.58,200.6,1120.0
38,1.0,,0.0,1504.0,1.0,0,0.0,232.17,231.84,1472.0,14304,1472.0,8,1.0,1.0,0.0,6.78,234.72,1120.0,14641,,1943.4555825287575,1680701369.0,0.0,,235.93,1472.0,1504.0,1943.4555825287575,,1.0,145,1.0,0.0,,239.45,1472.0,1.0,1,,0.0,0.0,166.25,237.57,1.0,,0.0,9.33,233.93,1472.0
39,1.0,,0.0,1856.0,1.0,0,0.0,243.79,245.27,1824.0,17152,1824.0,8,1.0,1.0,0.0,5.56,245.69,1472.0,17507,,1997.7509941670364,1680701370.0,0.0,,247.14,1824.0,1856.0,1997.7509941670364,,1.0,146,1.0,0.0,,248.67,1824.0,1.0,1,,0.0,0.0,217.97,248.22,1.0,,0.0,7.64,246.7,1824.0
40,1.0,,0.0,2208.0,1.0,0,0.0,249.69,250.54,2176.0,19968,2176.0,8,1.0,1.0,0.0,4.5,249.39,1856.0,20320,,2011.827162858006,1680701372.0,0.0,,250.79,2176.0,2208.0,2011.827162858006,,1.0,148,1.0,0.0,,251.62,2176.0,1.0,1,,0.0,0.0,242.91,251.58,1.0,,0.0,6.19,251.24,2176.0
41,1.0,,0.0,2560.0,1.0,0,0.0,250.77,251.79,2528.0,22752,2528.0,8,1.0,1.0,0.0,3.47,250.36,2208.0,23137,,2017.3371663676921,1680701373.0,0.0,,251.95,2528.0,2560.0,2017.3371663676921,,1.0,149,1.0,0.0,,252.26,2528.0,1.0,1,,0.0,0.0,250.68,251.24,1.0,,0.0,4.77,252.78,2528.0
42,1.0,,0.0,2912.0,1.0,0,0.0,251.59,252.28,2880.0,25600,2880.0,8,1.0,1.0,0.0,2.45,250.7,2560.0,25972,,2019.930477807838,1680701374.0,0.0,,252.39,2848.0,2912.0,2019.930477807838,,1.0,150,1.0,0.0,,252.32,2880.0,1.0,1,,0.0,0.0,252.83,252.17,1.0,,0.0,3.36,253.07,2880.0
43,1.0,,0.0,3264.0,1.0,0,0.0,251.93,252.66,3232.0,28480,3232.0,8,1.0,1.0,0.0,1.43,251.48,2912.0,28808,,2019.5347321052839,1680701376.0,0.0,,251.91,3200.0,3264.0,2019.5347321052839,,1.0,152,1.0,0.0,,252.29,3264.0,1.0,1,,0.0,0.0,253.86,252.53,1.0,,0.0,1.96,253.27,3232.0
44,1.0,,0.0,3616.0,1.0,0,0.0,252.01,252.35,3616.0,31296,3584.0,8,1.0,1.0,0.0,0.5,251.52,3264.0,31625,,2018.8209827377325,1680701377.0,0.0,,251.74,3584.0,3616.0,2018.8209827377325,,1.0,153,1.0,0.0,,252.17,3616.0,1.0,1,,0.0,0.0,253.9,252.52,1.0,,0.0,0.57,253.33,3584.0
45,1.0,,0.0,3968.0,1.0,0,0.0,252.18,252.11,3968.0,32896,3936.0,8,1.0,1.0,0.0,0.5,251.5,3616.0,34446,,2015.4536086998396,1680701379.0,0.0,,252.03,3936.0,3968.0,2015.4536086998396,,1.0,155,1.0,0.0,,251.8,3968.0,1.0,1,,0.0,0.0,253.5,252.18,1.0,,0.0,0.0,253.51,3936.0
46,1.0,,0.0,4192.0,1.0,0,0.0,249.96,251.98,4160.0,32896,4160.0,8,1.0,1.0,0.0,0.5,251.25,3808.0,37270,,2015.4536086998396,1680701380.0,0.0,,252.08,4128.0,4160.0,2015.4536086998396,,1.0,156,1.0,0.0,,251.83,4160.0,1.0,1,,0.0,0.0,253.44,252.1,1.0,,0.0,0.0,252.82,4128.0
47,1.0,,0.0,4192.0,1.0,0,0.0,249.96,251.98,4160.0,32896,4160.0,8,1.0,1.0,0.0,0.5,251.25,3808.0,40090,,2015.4536086998396,1680701381.0,0.0,,252.08,4128.0,4160.0,2015.4536086998396,,1.0,157,1.0,0.0,,251.83,4160.0,1.0,1,,0.0,0.0,253.44,252.1,1.0,,0.0,0.0,252.82,4128.0
48,1.0,,0.0,4192.0,1.0,0,0.0,249.96,251.98,4160.0,32896,4160.0,8,1.0,1.0,0.0,0.5,251.25,3808.0,42911,,2015.4536086998396,1680701383.0,0.0,,252.08,4128.0,4160.0,2015.4536086998396,,1.0,159,1.0,0.0,,251.83,4160.0,1.0,1,,0.0,0.0,253.44,252.1,1.0,,0.0,0.0,252.82,4128.0
49,1.0,,0.0,4192.0,1.0,0,0.0,249.96,251.98,4160.0,32896,4160.0,8,1.0,1.0,0.0,0.5,251.25,3808.0,45740,,2015.4536086998396,1680701384.0,0.0,,252.08,4128.0,4160.0,2015.4536086998396,,1.0,160,1.0,0.0,,251.83,4160.0,1.0,1,,0.0,0.0,253.44,252.1,1.0,,0.0,0.0,252.82,4128.0
50,1.0,,0.0,4192.0,1.0,0,0.0,249.96,251.98,4160.0,32896,4160.0,8,1.0,1.0,0.0,0.5,251.25,3808.0,48573,,2015.4536086998396,1680701386.0,0.0,,252.08,4128.0,4160.0,2015.4536086998396,,1.0,162,1.0,0.0,,251.83,4160.0,1.0,1,,0.0,0.0,253.44,252.1,1.0,,0.0,0.0,252.82,4128.0
